Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
106,COMPLETE,0.6446456134448757,0.7277294575513584,7,0.5144662003658674,5.716554776713574,0.015680774139732522,16,93,0.6784716910823783,959,15
107,COMPLETE,0.6446962358905517,0.737730317487692,7,0.47052152173561895,6.4917205981815655,0.014663352738448515,16,95,0.18738221942564545,856,14
108,COMPLETE,0.6449608043452585,0.7322285115773984,7,0.5238408538125207,6.169110802356247,0.01847100863424884,18,81,0.05887561622128714,802,20
109,COMPLETE,0.6440462173962657,0.8073364784948045,7,0.5389613341220031,6.734686489254844,0.01853107787185162,15,98,0.11746861209187748,901,20
110,COMPLETE,0.6437849247006927,0.7206928885672464,7,0.549892967461769,7.87700055991414,0.018113632154329717,18,87,0.06369705119256058,811,21
111,COMPLETE,0.6443830561705315,0.7308929856466654,7,0.5241854241406504,6.216814104678061,0.0165159174194018,19,81,0.028442802715200936,822,17
112,COMPLETE,0.6446288738513088,0.7356235330371648,7,0.5051584914588255,7.110670564661459,0.017539097308401544,18,92,0.07412899140076339,801,19
113,COMPLETE,0.644772292801912,0.7258173157408152,7,0.516516240607448,6.072018517315572,0.018620183632816763,17,96,0.052689311940259165,941,16
114,COMPLETE,0.6441463513158721,0.742375801433985,7,0.5308027991854302,6.621487364864937,0.01726363772855136,20,90,0.09631650893612131,871,17
115,COMPLETE,0.6445572036708278,0.746550960847196,7,0.4998371264279283,6.385637112172997,0.016613266921398227,14,94,0.13748381167128118,768,20
116,COMPLETE,0.6451452899556237,0.738779902132924,7,0.5197372738960744,5.887292090175547,0.01608019403555729,19,85,0.16631587320687505,843,19
117,COMPLETE,0.6427601407857689,0.7346550567328891,7,0.522961182173,5.6462730201259275,0.014017352245611587,19,54,0.1666181960001713,844,19
118,COMPLETE,0.6450459562214546,0.7300088778327679,7,0.5440676085708509,5.435010687128673,0.016018911248089622,17,84,0.24443026144095265,1012,22
119,COMPLETE,0.6448444916763424,0.7294170539865573,7,0.5344482462508785,4.909220525816564,0.015062187287235707,17,77,0.24276850356811988,1060,24
120,COMPLETE,0.6443178910689846,0.7526579398566731,7,0.5432213075520859,5.879388526986893,0.016262441048317332,19,84,0.3456289848152437,1021,22
121,COMPLETE,0.6436292993499151,0.722916400232283,7,0.5669131688065276,5.286699601853894,0.015703364308327902,16,82,0.1149597813658671,855,21
122,COMPLETE,0.6452775920442592,0.7373494137186067,7,0.5107955287724515,5.584675890191894,0.015389496286311881,17,86,0.15209696145767665,1009,18
123,COMPLETE,0.6445940979350957,0.7316856186848951,7,0.5124921813914318,5.6511394173707705,0.015309373424902463,17,86,0.18804212852923569,1004,18
124,COMPLETE,0.6446829863915033,0.7153853665049605,7,0.5538355538512134,5.044131399846452,0.016750654962725625,18,79,0.14897988312863175,1044,25
125,COMPLETE,0.6435247358323525,0.7364022793415443,7,0.5087148161991705,5.412434399388781,0.016010157289337947,18,62,0.2100147316579572,990,20
126,COMPLETE,0.6431349133509198,0.7245620378245925,7,0.4949993899142085,5.94211303885346,0.006487900258842041,19,100,0.16339758706546775,1016,18
127,COMPLETE,0.6443145510092353,0.7463991525226811,7,0.516790643986332,6.889664109539435,0.014579111970937536,17,85,0.12783135468184553,960,17
128,COMPLETE,0.6443917724761873,0.7188058693013561,7,0.5297379707930351,7.353008893182185,0.017096210722182294,18,90,0.977222395008383,1007,21
129,COMPLETE,0.6442079941725923,0.7288885675293527,7,0.5268489641364043,6.572808449297259,0.015076993197003504,17,73,0.09820866203100476,1079,19
130,COMPLETE,0.6447155725145333,0.7423920300890308,7,0.5043618775588421,6.173088317431955,0.01996644415112047,16,97,0.18914434468284008,1040,17
131,COMPLETE,0.6434847229882331,0.7397450993932504,7,0.5184265183184528,6.3946752584872675,0.01570553439117949,18,69,0.07300772483588656,834,19
132,COMPLETE,0.6434881309208542,0.8853739011732803,7,0.5222751571439651,7.151443983721065,0.016205602458271618,20,76,0.11325595518713609,880,18
133,COMPLETE,0.644815710006396,0.7341515875144157,7,0.5371581541310978,5.568921148098092,0.015543947722290521,16,88,0.1477653174751382,907,20
134,COMPLETE,0.6450863191467029,0.7384917488172922,7,0.5098421568233232,6.752704034090643,0.016495021658595618,19,92,0.08612250963665269,803,19
135,COMPLETE,0.6441956913214945,0.7374544966627129,7,0.49894295668709177,6.841394102080006,0.017801568933627384,21,92,0.0934880080330703,796,18
136,COMPLETE,0.6444814754070578,0.7326095280900053,7,0.5076930019653785,4.765611007982771,0.01647755111695888,19,95,0.13733551743028938,811,22
137,COMPLETE,0.6446612813615178,0.7493737620784413,7,0.5127896339337608,6.672320106627387,0.016794734361231793,19,98,0.16326978478624643,970,19
138,COMPLETE,0.6439714536417283,0.742831459537112,7,0.4894331773308452,5.852864661869451,0.017244299482763074,18,93,0.11906691910644392,827,33
